fuente,ejercicio,estado,dataset_id,dataset_titulo,recurso_id,recurso_nombre,recurso_descripcion,formato,url,archivo,descargado,bytes,md5,http,error,recurso_modificado,dataset_modificado
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,e08893aa-9a0e-4a88-9dc1-d26de438457d,Códigos de giros,Contienen los códigos y la descripción de los giros utilizados en la presentación de la Declaración Jurada.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/e08893aa-9a0e-4a88-9dc1-d26de438457d/download/giros.csv,data-raw/dicose/2021/codigos-de-giros__e08893aa.csv,2026-09-25T06:18:41+0000,964,b14e1f8ea480279b3304b5fec2e3ad79,,,2021-09-14T13:05:19.682732,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,fdbfd26d-b347-47cf-909e-90e3eee908d3,Códigos de mejoramientos de tierras,Contienen los códigos y la descripción de los tipos de mejoramientos de tierras utilizados en la presentación de la Declaración Jurada.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/fdbfd26d-b347-47cf-909e-90e3eee908d3/download/mejoramientostierra.csv,data-raw/dicose/2021/codigos-de-mejoramientos-de-tierras__fdbfd26d.csv,2026-09-25T06:18:42+0000,319,35f5c5d37af8960ab3416c3224d93b71,,,2021-09-14T13:07:42.706090,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,000b1c4f-7ae5-4364-b5bc-478de36bef3a,Códigos de naturalezas jurídicas,Contienen los códigos y las descripciones de las naturalezas jurídicas utilizadas en la presentación de la Declaración Jurada.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/000b1c4f-7ae5-4364-b5bc-478de36bef3a/download/naturalezasjuridicas.csv,data-raw/dicose/2021/codigos-de-naturalezas-juridicas__000b1c4f.csv,2026-09-25T06:18:43+0000,522,b5d4f5e5b1c4a934004bb05a2b3e6497,,,2021-09-14T14:07:18.782663,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,d037c810-533e-4800-a08c-db782860f8d6,Códigos de producciones,Contienen los códigos y las descripciones de los tipos de producción declarada en la presentación de la Declaración Jurada de Lechería.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/d037c810-533e-4800-a08c-db782860f8d6/download/tiposproducciones.csv,data-raw/dicose/2021/codigos-de-producciones__d037c810.csv,2026-09-25T06:18:47+0000,293,af643b527d036c985f785018537ec69b,,,2021-09-14T14:36:41.431846,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,0a5b534e-be1b-4a0f-826b-bbc80dff716b,Códigos de productos,Contienen los códigos y las descripciones de productos declarados en la presentación de la Declaración Jurada de Lechería.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/0a5b534e-be1b-4a0f-826b-bbc80dff716b/download/productos.csv,data-raw/dicose/2021/codigos-de-productos__0a5b534e.csv,2026-09-25T06:18:44+0000,100,ecbea0837019851d73062710b9b5c9a2,,,2021-09-14T14:33:29.253391,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,5c9feb1f-7d7a-49b5-836a-773c94d152d7,Códigos de tenencia de tierra,Contienen los códigos y las descripciones de la tenencia de la tierra que se utilizan en la presentación de la Declaración Jurada.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/5c9feb1f-7d7a-49b5-836a-773c94d152d7/download/tenenciastierra.csv,data-raw/dicose/2021/codigos-de-tenencia-de-tierra__5c9feb1f.csv,2026-09-25T06:18:46+0000,222,6e9a010e1ce0b17ce20ddc6cf50066b9,,,2021-09-14T14:35:10.421056,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,4d0661a4-2aa9-41f6-af36-f0886446cd27,Códigos de usos de tierra,Contienen los códigos y las descripciones de los usos de la tierra utilizados en la presentación de la Declaración Jurada.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/4d0661a4-2aa9-41f6-af36-f0886446cd27/download/usostierra.csv,data-raw/dicose/2021/codigos-de-usos-de-tierra__4d0661a4.csv,2026-09-25T06:18:48+0000,261,edcc630b94a83f40225609f3045f58f4,,,2021-09-14T14:38:05.778169,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,bf2f65d3-1bd9-450e-a8a1-bd8837f8a2c1,Datos animales,"Contiene los nacimientos, consumos y muertes de animales así como la cantidad de tenedores y animales por especie.",CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/bf2f65d3-1bd9-450e-a8a1-bd8837f8a2c1/download/datosanimales.csv,data-raw/dicose/2021/datos-animales__bf2f65d3.csv,2026-09-25T06:18:24+0000,3043700,2142521f8de406db38640dbd08202396,,,2021-09-14T12:16:54.642994,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,9296a33d-cb19-40b2-9cf6-6957feec4532,Datos generales,"Para el ejercicio ganadero, departamento, actividad, etc, detalla cantidad de tenedores, superficie explotada y con destino ganadería, und. ganaderas.",CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/9296a33d-cb19-40b2-9cf6-6957feec4532/download/datosgenerales.csv,data-raw/dicose/2021/datos-generales__9296a33d.csv,2026-09-25T06:18:22+0000,1356806,b8c9fff30276f895900fb6f99830cd0d,,,2021-09-13T19:10:31.249674,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,ec3190c6-e504-4503-a5fd-3f7a02d2d434,Mejoramientos de tierras,"Para el ejercicio ganadero, departamento, actividad, etc. detalla las hectáreas en las que se realizaron mejoras.",CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/ec3190c6-e504-4503-a5fd-3f7a02d2d434/download/datosmejoramientostierra.csv,data-raw/dicose/2021/mejoramientos-de-tierras__ec3190c6.csv,2026-09-25T06:18:31+0000,923948,e60249c695486d3bb5702a4b24e0b3d2,,,2021-09-14T12:32:53.872310,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,2e12f4ba-f1bd-4a6c-ae48-1561c0fcb3ac,Metadatos de animales detallados,Este recurso contiene los metadatos correspondientes a la información detallada de animales declarados por categoría.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/2e12f4ba-f1bd-4a6c-ae48-1561c0fcb3ac/download/datosanimalesdetallados.csv,data-raw/dicose/2021/metadatos-de-animales-detallados__2e12f4ba.csv,2026-09-25T06:18:28+0000,4326,6e3a8456330b5910c9cdf02d410f0e97,,,2021-09-14T12:27:45.507540,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,6db30cd9-31e8-495c-9d86-a7a9d9ed8742,Metadatos de códigos de actividades,Este recurso contiene los metadatos de los códigos de actividades.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/6db30cd9-31e8-495c-9d86-a7a9d9ed8742/download/actividades.csv,data-raw/dicose/2021/metadatos-de-codigos-de-actividades__6db30cd9.csv,2026-09-25T06:18:36+0000,234,29f7836b09de31d5e0d7083be6500c88,,,2021-09-14T12:54:23.195936,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,1256479d-7582-4836-a833-c4e1f09cfb30,Metadatos de códigos de categoría,Este recurso contiene los metadatos de códigos de categoría.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/1256479d-7582-4836-a833-c4e1f09cfb30/download/categorias.csv,data-raw/dicose/2021/metadatos-de-codigos-de-categoria__1256479d.csv,2026-09-25T06:18:37+0000,449,5896b7fc44dea328fed22240b2ec108c,,,2021-09-14T12:56:12.892225,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,c9d81260-1a88-4f9a-ab7d-25e36ee4cb9b,Metadatos de códigos de departamentos,Este recurso contiene los metadatos de códigos de departamentos.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/c9d81260-1a88-4f9a-ab7d-25e36ee4cb9b/download/departamentos.csv,data-raw/dicose/2021/metadatos-de-codigos-de-departamentos__c9d81260.csv,2026-09-25T06:18:38+0000,252,fbf37cd3a32c28c771f84d70a20ff292,,,2021-09-14T12:58:50.175905,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,abf6b924-fe51-418f-a7ce-cae82b1fe72f,Metadatos de códigos de especies,Este recurso contiene los metadatos de códigos de especies.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/abf6b924-fe51-418f-a7ce-cae82b1fe72f/download/especies.csv,data-raw/dicose/2021/metadatos-de-codigos-de-especies__abf6b924.csv,2026-09-25T06:18:39+0000,216,f833502269e853a43d3e60bde4889f3d,,,2021-09-14T13:01:01.855054,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,ef1fb81d-da4e-42c1-872b-f4ddcc78aa6e,Metadatos de códigos de estratos,Este recurso contiene los metadatos de código de estratos.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/ef1fb81d-da4e-42c1-872b-f4ddcc78aa6e/download/estratos.csv,data-raw/dicose/2021/metadatos-de-codigos-de-estratos__ef1fb81d.csv,2026-09-25T06:18:39+0000,212,dd88ca685f6e5666597c4c46b8d365bc,,,2021-09-14T13:02:41.782927,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,e02a5f1a-4801-4a74-87bc-c2a3eff66af7,Metadatos de códigos de giros,Este recurso contiene los metadatos de códigos de giros.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/e02a5f1a-4801-4a74-87bc-c2a3eff66af7/download/giros.csv,data-raw/dicose/2021/metadatos-de-codigos-de-giros__e02a5f1a.csv,2026-09-25T06:18:42+0000,188,1699d582797eef7b5ad66b23aedceb28,,,2021-09-14T13:06:36.921721,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,52bc5ce2-5874-4188-ad95-8d4ce7e68184,Metadatos de códigos de productos,Este recurso contiene los metadatos de códigos de productos.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/52bc5ce2-5874-4188-ad95-8d4ce7e68184/download/productos.csv,data-raw/dicose/2021/metadatos-de-codigos-de-productos__52bc5ce2.csv,2026-09-25T06:18:46+0000,336,9f71c1011ea7a66321fee98ed9bd32e2,,,2021-09-14T14:34:11.330951,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,6dd6dea6-2a80-4b71-9527-7244a815b56e,Metadatos de códigos de tenencia de tierra,Este recurso contiene los metadatos de códigos de tenencia de tierra.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/6dd6dea6-2a80-4b71-9527-7244a815b56e/download/tenenciastierra.csv,data-raw/dicose/2021/metadatos-de-codigos-de-tenencia-de-tierra__6dd6dea6.csv,2026-09-25T06:18:47+0000,264,b3e5f6fd1ae45a93fd8d0ba2dfcbfb1d,,,2021-09-14T14:35:58.477402,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,bd27f776-2aac-4c79-94cc-742fbc63babf,Metadatos de códigos de usos de tierra,Este recurso contiene los metadatos de códigos de usos de tierra.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/bd27f776-2aac-4c79-94cc-742fbc63babf/download/usostierra.csv,data-raw/dicose/2021/metadatos-de-codigos-de-usos-de-tierra__bd27f776.csv,2026-09-25T06:18:49+0000,220,f80938a7812a66a9f55b37f4fd45e2fa,,,2021-09-14T14:39:17.109225,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,ddf142b8-abbf-4e8c-9cfc-63bb41cf7bb2,Metadatos de códigos tipos de producción,Este recurso contiene los metadatos de códigos de tipos de producción.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/ddf142b8-abbf-4e8c-9cfc-63bb41cf7bb2/download/tiposproducciones.csv,data-raw/dicose/2021/metadatos-de-codigos-tipos-de-produccion__ddf142b8.csv,2026-09-25T06:18:48+0000,284,85648a7ea761d6a8962ee84575e2cfb2,,,2021-09-14T14:37:26.387092,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,5efdddff-d528-4c54-87ec-479be475d6f3,Metadatos de datos animales,"Este recurso contiene los metadatos correspondientes a datos de animales, así como su origen y limitantes.",CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/5efdddff-d528-4c54-87ec-479be475d6f3/download/datosanimales.csv,data-raw/dicose/2021/metadatos-de-datos-animales__5efdddff.csv,2026-09-25T06:18:24+0000,4636,115813e3d826a8c06e7f3f7ff9489370,,,2021-09-14T12:18:31.591021,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,93e5f1ad-57e3-40b4-b044-d477fa1e68e4,Metadatos de datos generales,Este recurso contiene los metadatos de los datos generales.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/93e5f1ad-57e3-40b4-b044-d477fa1e68e4/download/datosgenerales.csv,data-raw/dicose/2021/metadatos-de-datos-generales__93e5f1ad.csv,2026-09-25T06:18:22+0000,4146,f8c062e3eb3b29d169ebca5b3d2e10f7,,,2021-09-13T19:12:30.263970,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,7eafb84f-ad83-46cc-bccc-9de66cd1bc0d,Metadatos de mejoramientos de tierras,"Para el ejercicio ganadero, departamento, actividad, etc. detalla las hectáreas en las que se realizaron mejoras.",CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/7eafb84f-ad83-46cc-bccc-9de66cd1bc0d/download/mejoramientostierra.csv,data-raw/dicose/2021/metadatos-de-mejoramientos-de-tierras__7eafb84f.csv,2026-09-25T06:18:31+0000,292,c8fa8229240b48028c3b3e1c6c989baa,,,2021-09-14T12:37:27.375921,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,74825121-6370-4e60-bc94-4b246aaaad15,Metadatos de mejoramientos de tierras,Este recurso contiene los metadatos de mejoramientos de tierras.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/74825121-6370-4e60-bc94-4b246aaaad15/download/mejoramientostierra.csv,data-raw/dicose/2021/metadatos-de-mejoramientos-de-tierras__74825121.csv,2026-09-25T06:18:43+0000,292,c8fa8229240b48028c3b3e1c6c989baa,,,2021-09-14T13:08:33.468851,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,97a9ffa8-f04b-482a-85a3-be3862f55f46,Metadatos de naturalezas jurídicas,Este recurso contiene los metadatos de naturalezas jurídicas.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/97a9ffa8-f04b-482a-85a3-be3862f55f46/download/naturalezasjuridicas.csv,data-raw/dicose/2021/metadatos-de-naturalezas-juridicas__97a9ffa8.csv,2026-09-25T06:18:43+0000,310,ebfe167c5287edf6ba33c010edd906b6,,,2021-09-14T14:32:20.469264,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,9a4b2c33-0d90-43cc-b44f-59de3f0ffad3,Metadatos de producción de leche,Este recurso contiene los metadatos de producción de leche.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/9a4b2c33-0d90-43cc-b44f-59de3f0ffad3/download/datosproduccionleche.csv,data-raw/dicose/2021/metadatos-de-produccion-de-leche__9a4b2c33.csv,2026-09-25T06:18:33+0000,3836,02006a52edc499456c0a98e2a8dfa2b1,,,2021-09-14T12:40:15.295069,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,d48a40bd-575b-4d7c-a348-4e6afd060bed,Metadatos de producción de leche en establecimiento,Este recurso contiene los metadatos de producción de leche en establecimiento.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/d48a40bd-575b-4d7c-a348-4e6afd060bed/download/datosproduccionlecheenestablecimiento.csv,data-raw/dicose/2021/metadatos-de-produccion-de-leche-en-establecimiento__d48a40bd.csv,2026-09-25T06:18:34+0000,3586,b2972c3b611ebc65d26b343666e86583,,,2021-09-14T12:44:41.318564,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,0a9cdb25-3054-4c50-85ba-e3c013b105e2,Metadatos de tenencia de tierra,Este recurso contiene los metadatos de tenencia de la tierra.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/0a9cdb25-3054-4c50-85ba-e3c013b105e2/download/datostenenciastierra.csv,data-raw/dicose/2021/metadatos-de-tenencia-de-tierra__0a9cdb25.csv,2026-09-25T06:18:29+0000,3333,8fb7f6129dad29907fd00347d44764b5,,,2021-09-14T12:30:47.110197,2023-04-20T12:04:27.414395
